Nonterminal,FIRST,FOLLOW
MODULE,{module},{$}
GLOBALS,"{'',extern,bool,char,float,int,untyped,start,IDENTIFIER,;,LBRACER}",{$}
GLOBAL,"{bool,char,float,int,untyped,'',start,IDENTIFIER,;,LBRACER}","{$,extern,bool,char,float,int,untyped,start,IDENTIFIER,;,LBRACER}"
FUNCTION,"{'',start,IDENTIFIER,;,LBRACER}","{$,extern,bool,char,float,int,untyped,start,IDENTIFIER,;,LBRACER}"
FUNCTIONHEADER,"{'',start,IDENTIFIER}","{;,LBRACER}"
FUNCTIONREST,"{;,LBRACER}","{$,extern,bool,char,float,int,untyped,start,IDENTIFIER,;,LBRACER}"
MODIFIERS,"{'',start}",{IDENTIFIER}
PARAMLIST,"{void,bool,char,float,int,untyped}",{=>}
MOREPARAMBLOCK,"{'',;}",{=>}
PARAMBLOCK,"{bool,char,float,int,untyped}","{=>,;}"
MOREPARAM,"{'',,}","{=>,;}"
PARAM,"{'',*,IDENTIFIER}","{=>,;,,}"
RETURNTYPE,"{bool,char,float,int,untyped}","{;,LBRACER}"
REFERENCE,"{'',*}","{IDENTIFIER,;,LBRACER,[}"
DIMENSIONBLOCK,"{'',[]}","{=>,;,,,LBRACER}"
BLOCK,{LBRACER},"{$,extern,bool,char,float,int,untyped,start,IDENTIFIER,;,LBRACER,RBRACER,label,break,continue,if,goto,while,do,switch,return,&,*,-,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL,else,default}"
CODE,"{'',LBRACER,label,;,break,continue,if,goto,while,do,switch,return,bool,char,float,int,untyped,&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}",{RBRACER}
STATEMENT,"{label,;,break,continue,if,goto,while,do,switch,return,bool,char,float,int,untyped,&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{RBRACER,LBRACER,label,;,break,continue,if,goto,while,do,switch,return,bool,char,float,int,untyped,&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}"
elseBLOCK,"{'',else}","{RBRACER,LBRACER,label,;,break,continue,if,goto,while,do,switch,return,bool,char,float,int,untyped,&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}"
SWITCHCASES,"{'',case}",{default}
DECLARATIONBLOCK,"{bool,char,float,int,untyped}",{;}
RESTDECLARATION,"{'',,}",{;}
DECLARATION,"{'',*,IDENTIFIER}","{;,,}"
INDEXBLOCK,"{'',[}","{;,,,=}"
INITIALIZER,"{'',=}","{;,,}"
EXPRESSION,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,],=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}"
RESTEXPRESSION,"{'',=}","{),;,,,=,],||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}"
